source_url,strain_count,strain_id
https://multiversebeans.com/product/barneys-farm-lemon-haze-strain-fem-auto/,1,[8122]
https://multiversebeans.com/product/barneys-farm-lemon-tree-strain-fem-photo/,1,[8239]
https://multiversebeans.com/product/barneys-farm-moby-dick-strain-fem-photo/,1,[9200]
https://multiversebeans.com/product/barneys-farm-og-kush-strain-fem-auto/,1,[9861]
https://multiversebeans.com/product/barneys-farm-og-kush-strain-fem-photo/,1,[9838]
https://multiversebeans.com/product/barneys-farm-orange-sherbert-strain-fem-photo/,1,[10080]
https://multiversebeans.com/product/barneys-farm-peyote-cookies-strain-fem-photo/,1,[10511]
https://multiversebeans.com/product/barneys-farm-peyote-critical-strain-fem-photo/,1,[10515]
https://multiversebeans.com/product/barneys-farm-pink-kush-strain-fem-photo/,1,[10718]
https://multiversebeans.com/product/barneys-farm-purple-punch-strain-auto-fem/,1,[11377]
https://multiversebeans.com/product/barneys-farm-purple-punch-strain-fem-photo/,1,[11362]
https://multiversebeans.com/product/barneys-farm-runtz-muffin-strain-fem-photo/,1,[12088]
https://multiversebeans.com/product/barneys-farm-runtz-strain-auto-fem/,1,[12069]
https://multiversebeans.com/product/barneys-farm-runtz-strain-fem-photo/,1,[12058]
https://multiversebeans.com/product/barneys-farm-runtz-x-layer-cake-fem-photo/,1,[12097]
https://multiversebeans.com/product/barneys-farm-sour-strawberry-strain-fem-photo/,1,[12997]
https://multiversebeans.com/product/barneys-farm-strawberry-cheesecake-strain-auto-fem/,1,[13349]
https://multiversebeans.com/product/barneys-farm-strawberry-lemonade-strain-fem-photo/,1,[13434]
https://multiversebeans.com/product/barneys-farm-tangerine-dream-strain-fem-photo/,1,[14104]
https://multiversebeans.com/product/barneys-farm-tropicanna-banana-strain-fem-photo/,1,[14702]
https://multiversebeans.com/product/barneys-farm-watermelon-zkittlez-strain-auto-fem/,1,[15044]
https://multiversebeans.com/product/barneys-farm-wedding-cake-strain-auto-fem/,1,[15077]
