seed_bank,breeder_name,seed_type,growth_type,source_url,extraction_methods_used,scraped_at,about_info,genetics,strain_name,availability,data_completeness_score,quality_tier,breeding_notes,awards,plant_height,yield,aroma_flavour,effects,medicinal_effect,grow_difficulty,growth_odour,indica_sativa
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/orange-utan,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:36:28.476640,The only strain of our Limited Edition 2021 drop that is entirely exclusive; Orange-Utan is a little critter that is a welcome addition to our catalogue and easily has a place in everybody’s garden.,,Orange Utan,SoldOut,69.6,High,,"of a strain, and combining her with our 4 Assed Monkey just takes her to the next level in terms of terp profile and production, with both parents combining seamlessly",55 to 75cm,65 to 95 grams.,"Vin Diesel supping Cointreau. Diesel and chem gives way to orange starburst. Like brewing your own orange moonshine. Earthy, like a roasted malt stout.","Euphoric, uplifting high, mellows to a relaxing finish.","Mood enhancer, great for stress & pain.",,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-78-orange-panda,"['description', 'patterns', 'fallback']",2026-01-10T22:36:28.960223,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our standard catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use. Released as part of our October 2023 Illu",,Illuminauto 78 Orange Panda,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/orange-julius,"['description', 'patterns', 'fallback']",2026-01-10T22:36:29.389664,"Originally only available as a special 1 of 2 freebie strain as part of our 2023 Secret Santa drop, Orange Julius is now available for purchase for the very first time! Sundae Thumper is Mephisto Genetics’ second foray into the world of Gelato strains which started with our stunning Iced ‘n’ Baked autoflower. As we’ve ",’ second foray into the world of Gelato strains which started with our stunning Iced ‘n’ Baked autoflower,Orange Julius,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/orange-biscuits,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T22:36:29.727471,"Orange Biscuits is like a diesel jaffa cake, heavy on the jaffa. She's our Lionel Messi hat-trick in El Clásico of this year's Limiteds drop.","in our big Mephisto family than with Forum Stomper and Orange Diesel, but combining them has proved a masterstroke, creating what we can only describe as a diesel jaffa cake, heavy on the jaffa",Orange Biscuits,SoldOut,75.9,High,,,60 to 90cm,75 to 125 grams.,Smells like orange chantilly cream. Like a classic Licor 43 & orange juice.,"Happy head high, zippy, uplifting & giggly.",Good for treating stress & depression. Mood enhancer.,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/oompa-loompa-og,"['description', 'patterns', 'fallback']",2026-01-10T22:36:30.141765,"A forest-dwelling candy gremlin, Oompa Loompa OG blends skunky, earthy depth with a fermented mango twist. Expect dense nugs, Fruit Loop funk, and a chill smoke that melts stress like chocolate in Wonka’s factory. Easy to grow and easier to love, this one’s for the heavy-terp heads who like their sweetness rolled in so",,Oompa Loompa Og,SoldOut,36.6,Basic,s from our catalogue,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/one-night-stand,"['description', 'patterns', 'fallback']",2026-01-10T22:36:30.605324,"One Night Stan'd is a medium-sized autoflower with loud, evolving terps that start with a berry yoghurt aroma and develop into a smooth blackberry-vanilla blend. This strain hits hard with a potent, body-focused high that’s perfect for evening use, offering great pain relief and appetite stimulation. While not as punge",,One Night Stand,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/on-the-rocks,"['description', 'patterns', 'fallback']",2026-01-10T22:36:31.016106,"Built like a jazz riff, wild, stretchy, and full of character, On The Rocks hit 46–51"" in a 5-gallon organic run and drank like a pro with Blumat drippers on full drip. She showed classic F1 vigour early, then stretched like she was reaching for the spotlight. Testers pulled 142g of frosty, fade-heavy buds with ridicul",,On The Rocks,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/old-school-strawberry-haze,"['description', 'patterns', 'fallback']",2026-01-10T22:36:32.213967,Old School Strawberry Haze Old School Mango Haze x Strawberry Nuggets 50/50 Oh yeah. OH YEAH! Strawberry Nuggets is a longstanding favourite for pretty much every cannabis connoisseur and has converted countless photo-only fans over the years. This is one we can’t wait to try ourselves at the various Meph bases dotted ,"es we’ve paired our award-winning Old School Mango Haze with some beautiful ladies from across the Mephisto arsenal, each designed to get those taste buds tingling and the head spinning, in the best possible way",Old School Strawberry Haze,SoldOut,42.9,Medium,,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/old-school-purple-haze,"['description', 'patterns', 'fallback']",2026-01-10T22:36:32.889608,"Nostalgia overload, like watching The Expendables on VHS. Expect a high just won’t quit, with a sweet, tropical aroma and floral haze. A Mephisto time capsule of a strain, with the fingerprints of the original farm all over her, a halcyon days style strain that is a true nostalgia trip for all of us original members of","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Old School Purple Haze,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/old-school-orchard,"['description', 'patterns', 'fallback']",2026-01-10T22:36:33.293058,"Expect the pine and mango to shine through, with a classic OG twist. Taller, more slender than its sisters across the lineup, we still expect her to pack on the weight well into flower.","the lineup, we still expect her to pack on the weight well into flower",Old School Orchard,SoldOut,42.9,Medium,,,,,,,,,,
