strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,total_grow_time_days_clean,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,strain_name_no_aka,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,strain_name_extracted
294b573c-cafe-4e82-9dc9-3b4f1c8c6efb,herbies,Trichome And Cream Auto Dutch Passion,,,99.01,,,,,,,,,relaxed,sweet,,,,Cookies & Cream (Starfighter x Girl Scout Cookies) x Autoflower   Show all Show less     Trichome &,39.4,39.4,,,,html/1c732b9afadd4930.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/trichome-and-cream-auto-dutch-passion,"Outdoor, Indoor, Greenhouse",,,99.01,,,,70 - 84 days,1.6,2.6,,,,,,84,,,Hybrid,trichome and cream auto dutch passion,,Trichome And Cream Auto Dutch Passion,trichomeandcreamautodutchpassion,TRUE,84,84,Trichome And Cream
b18f33ab-ad78-4b94-8e16-9663df299048,herbies,Tropicana Cookies Fast Flowering,,,97.71,,,,,,,,,happy,sweet,,,,Tropicana Cookies x Tropicana Cookies Auto   Show all Show less     Tropicana Cookies Fast Flowering,78.7,78.7,,65,,html/1d5585201231b538.html,35,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/tropicana-cookies-fast-flowering,"Outdoor, Indoor",,,97.71,,,,,2,22.9,49,,,,,,,,Hybrid,tropicana cookies fast flowering,,Tropicana Cookies Fast Flowering,tropicanacookiesfastflowering,FALSE,,,Tropicana Cookies Fast Flowering
fbdd77a0-10b5-4c2e-80a4-ee37142543eb,herbies,Original Clon Blimburn Seeds,,,98.96,,,,,,,,,happy,pine,,,,".   Stealth, fast shipping directly to the USA.   Multiple secure payment options for your convenien",,,,,,html/1d6c3754bb29c040.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/original-clon-blimburn-seeds,"Outdoor, Indoor",,,98.96,,,,,,,,,,,,,,,,original clon blimburn seeds,,Original Clon Blimburn Seeds,originalclonblimburnseeds,FALSE,,,Original Clon
ca7d9d8a-a1b8-444a-badf-3839ebc5ca2e,herbies,Shiva Skunk Automatic,,,99.2,,,,,,,,,relaxed,sweet,,,,Shiva Skunk x Ruderalis   Show all Show less     Shiva Skunk Automatic Strain Reviews     No reviews,55.1,55.1,,80,,html/1d7a00d333700355.html,20,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/shiva-skunk-automatic,"Outdoor, Indoor",,,99.2,,,,56 - 126 days,,,,,,,,126,,,Hybrid,shiva skunk automatic,,Shiva Skunk Automatic,shivaskunkautomatic,TRUE,126,126,Shiva Skunkmatic
a6818cac-0a9e-4377-aa9b-193c6f0db6bc,herbies,Original Moby Dick Auto Fast Buds,,,97.71,,,,,,,,,happy,sweet,,,,Moby Dick Auto   Show all Show less     Original Moby Dick Auto Strain Reviews     No reviews yet. B,59.1,59.1,,30,,html/1e0e1c2fa7939704.html,70,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/original-moby-dick-auto-fast-buds,"Outdoor, Indoor, Greenhouse",,,97.71,,,,70 days,2.1,10.6,,,,,,70,,,,original moby dick auto fast buds,,Original Moby Dick Auto Fast Buds,originalmobydickautofastbuds,TRUE,,,Original Moby Dick
c28180ae-506e-409c-9867-aceac48628cb,herbies,Wedding Cake Auto Barneys Farm,,,98.39,,,,,,,,,happy,berry,,,,Wedding Cake x BF Super Auto #1   Show all Show less     Wedding Cake Auto Strain Reviews    5.0   1,35.4,43.3,,65,,html/1e932705d165b18f.html,35,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/wedding-cake-auto-barneys-farm,"Outdoor, Indoor",,,98.39,,,,70 - 75 days,1.6,26.5,,,,,,75,,,Hybrid,wedding cake auto barneys farm,,Wedding Cake Auto Barneys Farm,weddingcakeautobarneysfarm,TRUE,75,75,Wedding Cake
3a4a396c-f38c-49bf-b722-f947443fecda,herbies,Grandmommy Purple Auto,,,98.29,,,,,,,,,happy,berry,,,,Grandmommy Purple x Unknown Ruderalis   Show all Show less     Grandmommy Purple Auto Strain Reviews,55.1,55.1,,75,,html/1ebe4e7cb8f29de5.html,15,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/grandmommy-purple-auto,"Outdoor, Indoor",,,98.29,,,,60 - 70 days,1.8,12.3,,,,,,70,10,,Hybrid,grandmommy purple auto,,Grandmommy Purple Auto,grandmommypurpleauto,TRUE,70,70,Grandmommy Purple
8d26f047-5e98-4dad-ac4f-dd77e3a857df,herbies,Grape Ape Herbies Seeds Usa,,,98.29,,,,,,,,,euphoric,berry,,,,Afghani x Mendocino Purps x Skunk #1   Show all Show less     Grape Ape Strain Reviews     No review,47.2,47.2,,,,html/1f09e20fe1145493.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/grape-ape-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,1.8,26.5,55,,,,,,,,Hybrid,grape ape herbies seeds usa,,Grape Ape Herbies Seeds Usa,grapeapeherbiesseedsusa,FALSE,,,Grape Ape
c285f89c-9d5b-404a-9d3c-4feae00343d9,herbies,White Widow Herbies Seeds Usa,,,98.29,,,,,,,,,happy,earthy,,,,Brazilian Landrace Sativa x South Indian Indica   Show all Show less     White Widow Strain Reviews,59.1,98.4,,,,html/1f0ad559fab7aa25.html,,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/white-widow-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,1.8,26.5,,,,,,,,,Landrace,white widow herbies seeds usa,,White Widow Herbies Seeds Usa,whitewidowherbiesseedsusa,FALSE,,,White Widow
197bd2e7-4b0c-495a-8e21-dad5106e4cc8,herbies,Purple Punch Herbies Seeds Usa,,,98.29,,,,,,,,,relaxed,berry,,,,Larry OG x Granddaddy Purple   Show all Show less     Purple Punch Strain Reviews     No reviews yet,39.4,59.1,,85,,html/1f2ab980472fdfe3.html,15,1/14/2026,,https://herbiesheadshop.com/cannabis-seeds/purple-punch-herbies-seeds-usa,"Outdoor, Indoor",,,98.29,,,,,2.3,31.7,70,,,,,,,,Hybrid,purple punch herbies seeds usa,,Purple Punch Herbies Seeds Usa,purplepunchherbiesseedsusa,FALSE,,,Purple Punch
