strain_id,thc_raw,yield_raw,flowering_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max,yield_indoor_raw,yield_outdoor_raw,flowering_time_raw,outdoor_harvest_raw,height_indoor_raw,height_outdoor_raw,cbd_raw,genetics_raw,category_type_raw,harvest_time_raw,terpenes_raw,height_raw,lineage_raw,seed_type_raw,growth_type_raw,strain_type_raw,terpene_profile_raw,flavor_profile_raw
78fa3a43-6851-4eff-a567-58573383b321,Up to 20%,High,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
79e5ab28-b844-40de-9ae0-bc4ed129929b,Up to 22%,Extreme,Average (8-12 weeks),22,22,22,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
7d15797d-e573-4675-8efd-3071d23f9ecf,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
7dd0af5f-fa02-4223-96ee-b4b4e81d8a42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80ff9334-f06c-4a7d-8395-2399fc686dbe,Up to 20%,Average,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
81d63198-3468-45f5-a5ab-48b8f85f3e55,Up to 25%,Average,Average (8-12 weeks),25,25,25,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
8213d7a3-eccd-449e-ba43-d2d5614a426d,Up to 20%,High,Fast (6-10 weeks),20,20,20,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
836d05eb-d08d-4657-a882-fd31b6f14820,Up to 21%,,Average (8-12 weeks),21,21,21,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
873a1405-052b-44e7-a20d-73963bb3d1df,Up to 15%,Average,Fast (6-10 weeks),15,15,15,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
87884cde-1bc7-404b-a98d-e94557fe70f4,Up to 20%,Average,Average (8-12 weeks),20,20,20,,,,56,84,70,,,,,,,,,,,,,,,,,,,,,,,,,,
8993f19b-5883-45e1-9af2-737c08959d03,Up to 21%,High,Fast (6-10 weeks),21,21,21,,,,42,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,
