strain_id,source_url_raw,strain_name_from_source_url,strain_name_raw,strain_name_display,version,version_og,aka_strain_names,aka_strain_name_og,seed_bank_display,breeder_displayl,s3_html_key_raw,scraped_at_raw,notes_manual,parent_1_display,parent_2_display,parent_1_slug,parent_2_slug,grandparent_1_display,grandparent_2_display,grandparent_3_display,grandparent_1_slug,grandparent_2_slug,grandparent_3_slug,lineage_formula,lineage_depth,generation_clean,filial_generation,selfed_generation,backcross_generation,genetics_type_clean,indica_percentage_clean,sativa_percentage_clean,is_autoflower_clean,seed_type_raw_x,thc_min_raw,thc_max_raw,thc_content_raw,cbd_min_raw,cbd_max_raw,cbd_content_raw,cbn_content_raw,flowering_time_days_clean,height_indoor_cm_clean,height_outdoor_cm_clean,yield_indoor_g_m2_clean,yield_outdoor_g_plant_clean,effects_all_raw,flavors_all_raw,terpenes_raw_x,climate_raw,difficulty_raw,strain_name_slug,is_fast_flowering,is_regular_flowering,is_feminized_flowering,is_auto_flowering,thc_raw,yield_raw,flowering_raw,thc_min,thc_max,thc_avg,cbd_min,cbd_max,cbd_avg,flowering_days_min,flowering_days_max,flowering_days_avg,height_indoor_cm_min,height_indoor_cm_max,height_outdoor_cm_min,height_outdoor_cm_max,yield_indoor_g_m2_min,yield_indoor_g_m2_max,yield_outdoor_g_plant_min,yield_outdoor_g_plant_max,yield_indoor_raw,yield_outdoor_raw,flowering_time_raw,outdoor_harvest_raw,height_indoor_raw,height_outdoor_raw,cbd_raw,genetics_raw,category_type_raw,harvest_time_raw,terpenes_raw_y,height_raw,lineage_raw,seed_type_raw_y,growth_type_raw,strain_type_raw,terpene_profile_raw,flavor_profile_raw
7a232643-f04d-4a1b-a84d-188c351d0a64,https://herbiesheadshop.com/cannabis-seeds/skunk-1-auto-herbies-seeds-usa,Skunk 1 Auto Herbies Seeds Usa,Skunk 1 Auto Herbies Seeds Usa,Skunk,,1,,,Herbies Seeds,Herbies Seeds,html/99e0dc200576164e.html,1/14/2026,,Colombian gold,Afghani,colombian-gold,afghani,,,,,,,colombian-gold x afghani,1,,,,,,,,TRUE,,,,98.29,,,98.29,,,,,,,happy,sweet,,,,skunk-1,FALSE,FALSE,FALSE,TRUE,15%,,63 - 70 days,15,15,15,,,,63,70,66.5,,,,,,,,,,,,,,,,,,,,,,,,,,
83053a5a-a0b2-4b3b-a578-ee095e5bef3c,https://herbiesheadshop.com/cannabis-seeds/arjans-ultra-haze-1,Arjans Ultra Haze 1,Arjans Ultra Haze 1,Arjan's Ultra Haze,,1,,,Herbies Seeds,Green House Seed Co.,html/34f3326b2e7b4023.html,1/14/2026,,Neville's Haze x Cambodian,Laos,nevilles-haze-x-cambodian,laos,,,,,,,nevilles-haze-x-cambodian x laos,1,,,,,Sativa Dominant,20,80,FALSE,,,,96.74,,,96.74,0.53%,98,,,,,relaxed,earthy,,,,arjans-ultra-haze-1,FALSE,FALSE,FALSE,FALSE,16.22%,,91 - 98 days,16.22,16.22,16.22,,,,91,98,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,
8631bc2d-b52e-472f-b604-b75c58a3b2c8,https://neptuneseedbank.com/product/underworld-genetix-assassins-creed-1-f/,Underworld Genetix Assassins Creed 1 F,Underworld Genetix - Assassin's Creed #1 (Feminized),Assassins Creed,,1,,,Neptune Seed Bank,Underworld Genetix,html/fe56566e76167432.html,2026-01-12T15:24:05.394903,,10 (F) Lineage: Shogun #11,Jealousy,10-f-lineage-shogun-11,jealousy,,,,,,,10-f-lineage-shogun-11 x jealousy,1,F3,F3,,,,,,FALSE,,0.03,0.03,0.03,,,,,,,,,,,,,,,assassins-creed-1,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shogun #11 x Jealousy,,,,,
879c0654-37c0-4da7-a4ae-97585ea6d42f,https://www.cropkingseeds.com/feminized-seeds/iverson-01-feminized-cannabis-seeds/,Iverson 01 Feminized Cannabis Seeds,Iverson 01,Iverson,,1,,,Crop King Seeds,Crop King Seeds,html/6bc72c9c5ba2fe4c.html,2026-01-13T11:18:27.085542,,"F1 Durban, Gushers,",Runtz for a balanced,f1-durban-gushers,runtz-for-a-balanced,,,,,,,f1-durban-gushers x runtz-for-a-balanced,1,F1,F1,,,Indica Dominant,60,40,FALSE,,18,24,23%,0.3,0.7,0.76%,,63,121.92,121.92,425,450,,"Citrus, Floral, Orange, Sweet",,,,iverson,FALSE,FALSE,TRUE,FALSE,23%,,,23,23,23,0.76,0.76,0.76,56,70,63,0,121.92,0,121.92,2,425,400,450,375-425g/m2,400-450g/plant,8-10 weeks,,Small (0-4 FT),Small (0-4 FT),0.76%,F1 Durban x Gushers x Runtz,Indica Dominant Hybrid,October,,,,,,,,
88bd0f3f-0529-49f4-bf78-36ebbfc183b5,https://www.gorilla-cannabis-seeds.co.uk/dutchpassion/jorges-diamonds-1-feminized.html,Jorges Diamonds 1 Feminized,Jorge's Diamond #1,Jorge's Diamond,,1,,,Gorilla Cannabis Seeds,Dutch Passion,html/51eca1d30a3cebd5.html,1/14/2026,,,,,,,,,,,,,1,,,,,,,,FALSE,,16,18,18,,,18,,,,,,,,,,,,jorges-diamond-1,FALSE,FALSE,TRUE,FALSE,16-18 %,200 – 500 gram/m2,October 15th,16,18,17,,,,15,15,15,,,,,2,500,,,,,,,,,,,,,,,,,,,,
8fd3ac0a-c906-4d3d-929a-033b5a85374e,https://www.gorilla-cannabis-seeds.co.uk/dutchpassion/skunk-1-feminized.html,Skunk 1 Feminized,Dutch Passion Skunk #1 Feminized,Skunk,,1,,,Gorilla Cannabis Seeds,Dutch Passion,html/b6db42eae19f8235.html,1/14/2026,,,,,,,,,,,,,1,,,,,Sativa Dominant,40,60,FALSE,,,,,,,,,,,,,,uplifting,,,,,skunk-1,FALSE,FALSE,TRUE,FALSE,8.10%,,1st half of Nov. in a greenhouse 1st half of Nov. in a greenhouse,8.1,8.1,8.1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9e84e4fb-e93d-4461-8cf9-bd32d29f0c2b,https://www.gorilla-cannabis-seeds.co.uk/flyingdutchmen/feminized/skunk-1.html,Skunk 1,Skunk #1 Feminised Seeds,Skunk,,1,,,Gorilla Cannabis Seeds,Flying Dutchmen,html/04f7480e7db850eb.html,1/14/2026,,,,,,,,,,,,,1,,,,,Indica Dominant,100,0,FALSE,,,,,,,,,,,,,,energetic,,,,,skunk-1,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1557243-08b6-4588-9f15-e13359a4463b,https://www.gorilla-cannabis-seeds.co.uk/barneysfarm/feminized/skunk-1-feminized.html,Skunk 1 Feminized,Skunk #1 Feminized Cannabis Seeds,Skunk,,1,,,Gorilla Cannabis Seeds,Barney's Farm,html/927a92f9af8b9ba9.html,1/14/2026,,Afghan x Acapulco Gold,Colombian Gold,afghan-x-acapulco-gold,colombian-gold,,,,,,,afghan-x-acapulco-gold x colombian-gold,1,,,,,,,,FALSE,,,,,,,,,75,,,,,creative,"Pungent , Skunky, Earthy",,,,skunk-1,FALSE,FALSE,TRUE,FALSE,26%,800 gr/plant,,26,26,26,,,,,,,120,200,,,800,800,,,,,,,,,,,,,,120-150cm indoors / 150-200cm outdoors,,,,,,
b04d0406-75b6-4937-85e4-2a08f93b1a47,https://www.cropkingseeds.com/autoflowering-seeds/skunk-marijuana-seeds-2-2/,Skunk Marijuana Seeds 2 2,Skunk 1,Skunk,,1,,,Crop King Seeds,Crop King Seeds,html/6147b3e8bc135970.html,2026-01-13T11:24:12.917510,,Original Skunk #1,Ruderalis,original-skunk-1,ruderalis,,,,,,,original-skunk-1 x ruderalis,1,,,,,,,,TRUE,,26,30,14%,0.1,0.2,0.20%,,,121.92,243.84,300,110,,"Earthy, Pungent, Skunky, Sweet","Ocimene, Phellandrene, Pinene, Sabinene",,,skunk-2,FALSE,FALSE,FALSE,TRUE,14%,,,14,14,14,0.2,0.2,0.2,56,70,63,0,121.92,152.4,243.84,2,300,110,110,250-300g/m2,110g/plant,8-10 weeks,,Small (0-4 FT),Medium (5 to 8 FT),0.20%,Original Skunk #1 x Ruderalis,Indica Dominant Hybrid,All Year,"Ocimene, Phellandrene, Pinene, Sabinene",,,,,,,
b058a16e-9ca9-4e3d-b58a-d572aa0f8623,https://www.gorilla-cannabis-seeds.co.uk/g13labs/feminized/skunk-1.html,Skunk 1,Skunk #1,Skunk,,1,,,Gorilla Cannabis Seeds,G13 Labs,html/babd6972340b86ac.html,1/14/2026,,Acapulco Gold x Colombian Gold x Afghan,Mexican Sativa,acapulco-gold-x-colombian-gold-x-afghan,mexican-sativa,,,,,,,acapulco-gold-x-colombian-gold-x-afghan x mexican-sativa,1,,,,,,,,FALSE,,,,,,,,,,,,,,,Thick & Pungent,,,,skunk-1,FALSE,FALSE,TRUE,FALSE,,Good,7-8 weeks,,,,,,,49,56,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,
