seed_bank,source_url,extraction_methods_used,scraped_at,seed_type,growth_type,genetics,cannabis_type,flowering_time,yield,terpene_profile,breeder_name,about_info,strain_name,data_completeness_score,quality_tier,effects,strain_type,indica_sativa_cbd,plant_height,height,thc_content,cbd_content
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-auto-compassion-lime/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.242718,Feminized,Autoflower,"from the photoperiod CBD CompassionÂ® and our Californian Orange x USA Sour Diesel crossing, known as Daiquiri Lime",Feminized Autoflower,,s,,Dutch Passion,Buy CBD Auto Compassion Lime online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Auto Compassion Lime,68.7,High,of high CBD and medium-THC levels create a good medical variety with strong body effects and reduced pyscho-activity compared to typical THC-rich Dutch Passion auto varieties,CBD,CBD Hybrid,,,.,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-candyland-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.525773,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 350 - 400 gr/mÂ²; Outdoors: 400 - 600 gr/plant,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Linalool, Myrcene",Bulk White Label,Buy CBD Candyland (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Candyland F,95.2,Premium,is balanced and you do not feel high as CBD Candyland is rich in CBD,CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-blueberry-116-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.731864,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 350 - 400 gr/mÂ²; Outdoors: 500 - 600 gr/plant,"Alpha Cedrene, Alpha-Pinene, Alpha-Terpineol, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Delta-limonene, Eugenol, Farnesene, Fenchol, Humulene, Linalool, Myrcene, Nerolidol, Ocimene, Orange Terpenes, Phytol, Terpinolene",Bulk White Label,Buy CBD Blueberry 1:16 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Blueberry 116 F,95.2,Premium,is balanced and you do not feel high as CBD Blueberry (1:1) is rich in CBD,CBD,,4.92 ft,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-acdc-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:16.992283,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,Indoors: 450 - 500 gr/mÂ² ; Outdoors: 450 - 500 gr/plant,"Alpha Cedrene, Alpha-Pinene, Alpha-Terpineol, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Delta-limonene, Eugenol, Farnesene, Fenchol, Humulene, Linalool, Myrcene, Nerolidol, Ocimene, Orange Terpenes, Phytol, Terpinolene",Bulk White Label,Buy CBD ACDC 1:18 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Acdc F,89.2,Premium,,CBD,,4.92 ft,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-1-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:17.203669,Feminized,Photoperiod,Cannatonic S1/ErdPurt x Cannatonic S1,Feminized Photoperiod,50 - 60 days,,"Tangerine, Tropical Fruit, Sweet, Floral, Musky, Pine, Earthy",Ace Seeds,Buy CBD #1 (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd 1 F,85.5,Premium,", with hardly any psychoactivity (due to its high CBD/very low THC content) and high medicinal value that relieves both physical pain and mental discomfort (stress, anxiety, paranoia)",CBD,CBD Hybrid,,,,.
North Atlantic Seed Company,https://www.northatlanticseed.com/product/blackberry-kush-cbd-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:54.751845,Feminized,Autoflower,give a delicious taste and aroma to this CBD seed variety,Feminized Autoflower,85 - 100 days,s are good,"Complex, fruity, earthy/piney kush aroma and taste",Dutch Passion,Buy Blackberry Kush CBD Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Blackberry Kush Cbd,86.7,Premium,,CBD,CBD Hybrid,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/amnesia-cbd-pure-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:07:29.850393,Feminized,Autoflower,of an Amnesia Autoflowering and an Auto CBD,Feminized Autoflower,75 - 85 days,Indoors: 25 - 75 g/plant; Outdoors: 45 - 150 g/plant,,Humboldt Seed Organization,Buy Amnesia CBD Pure Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Amnesia Cbd Pure,79.5,High,,CBD,CBD Hybrid,,,,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/cbd-purple-120-auto/,"['structured', 'description', 'patterns', 'fallback']",2026-01-10T00:06:14.976578,Feminized,Autoflower,the many breeders we work with,,60 - 70 days,Indoors: 250-350 gr/mÂ² ; Outdoors: 400-600 gr/plant,"Beta-Caryophyllene, Limonene, Linalool, Myrcene, Para-Cymene, Terpinolene",Annaboto,Buy CBD Purple 1:20 Auto online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Cbd Purple 120,95.2,Premium,"is balanced without the high of THC-rich Purple, making it a great choice for those looking for great medicinal sensations without being in the clouds","CBD, Indica Dominant (60%+)",,4.92 ft,,-,-
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zushi-verde-f-ships-late-september/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:08.868585,Feminized,Photoperiod,"Berry Verde x Blue Zushi
Type: Hybrid
Seed Type:Â Feminized
Flowering: 8-9 weeks
Yield: High
Characteristics: Exotic and creamy with vibrant berry overtones, subtle citrus, and a smooth â€œZâ€-style finish",,8-9 weeks,"High
Characteristics: Exotic and creamy with vibrant berry overtones, subtle citrus, and a smooth â€œZâ€-style finish","Sweet Berry Candy, Zesty Citrus, Pine, Funky Kush, Earthy Mint",Elev8 Seeds,Buy Zushi Verde (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zushi Verde F Ships Late September,88,Premium,"This hybrid offers a smooth, joyful lift that promotes creativity and sociability, quickly mellowing into a calm, joyful high",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zushi-supreme-blue-zushi-s1-f-ships-late-september/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:09.095672,Feminized,Photoperiod,"Blue Zushi x Blue Zushi
Type: Hybrid
Seed Type:Â Feminized
Flowering: 8-9 weeks
Yield: Medium to High
Characteristics: This is pure Zushi essence â€” dripping with blueberry kush, Z candy, and a hit of spiced gas",,8-9 weeks,"Medium to High
Characteristics: This is pure Zushi essence â€” dripping with blueberry kush, Z candy, and a hit of spiced gas","Creamy Blueberry, Sour Candy, Subtle Kushy Gas",Elev8 Seeds,Buy Zushi Supreme (Blue Zushi S1) (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zushi Supreme Blue Zushi S1 F Ships Late September,88,Premium,"Zushi Supreme delivers a happy, clear-headed high that gradually melts into full-body relaxation",Hybrid,,,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zombie-df-f/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:11.566304,Feminized,Photoperiod,the many breeders we work with,,55 - 70 Days,when it is fed with all the hours of sunshine outdoors,"Alpha Cedrene, Alpha-bisabolol, Alpha-Pinene, Beta-Caryophyllene, Borneol, Cadinene, Camphene, Citral, Eugenol, Farnesene, Fenchol, Humulene, Myrcene, Ocimene, Terpineol",Bulk White Label,Buy Zombie D.F. (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zombie Df F,89.2,Premium,,Hybrid,,4.92 ft,,,
North Atlantic Seed Company,https://www.northatlanticseed.com/product/zoap-f-2/,"['structured', 'description', 'patterns', 'fallback']",2026-01-09T23:58:11.970562,Feminized,Photoperiod,the many breeders we work with,,60 - 70 days,"Indoors: 500 â€“ 550 gr/m2;
Outdoors: 500 â€“ 550 gr/plant","Caryophyllene, Myrcene, Terpineol, Linalool, Humelene, Eucalyptol",Pick and Mix,Buy Zoap (F) online from North Atlantic Seed Co. Voted #1 by the ICA Cannabis Awards. Fast shipping & premium genetics.,Zoap F 2,95.2,Premium,of an indica and the effects of a sativa,Hybrid,,4.92 ft,,24%,
