strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Mint Jelly Strain,https://www.cropkingseeds.com/feminized-seeds/mint-jelly-strain-feminized-marijuana-seeds/,html/125f1d17bd73a4ac.html,Crop King Seeds
AMG,https://www.cropkingseeds.com/feminized-seeds/amg-feminized-seeds/,html/04ae274644e15541.html,Crop King Seeds
Pinesoul Strain,https://www.cropkingseeds.com/feminized-seeds/pinesoul-strain-feminized-marijuana-seeds/,html/657d5073b8c3f2cc.html,Crop King Seeds
Grape Crush Strain,https://www.cropkingseeds.com/feminized-seeds/grape-crush-strain-feminized-marijuana-seeds/,html/b3515e791f5ddaa2.html,Crop King Seeds
Pink Acai Strain,https://www.cropkingseeds.com/feminized-seeds/pink-acai-strain-feminized-marijuana-seeds/,html/aeaa16a6a241d031.html,Crop King Seeds
Haze Xtreme Regular Marijuana,https://www.cropkingseeds.com/regular-marijuana-seeds/haze-xtreme-marijuana-seeds/,html/abece4752f04c55d.html,Crop King Seeds
Starburst Strain,https://www.cropkingseeds.com/feminized-seeds/starburst-strain-feminized-marijuana-seeds/,html/012e47b8d07d84db.html,Crop King Seeds
Blue Mints Strain,https://www.cropkingseeds.com/feminized-seeds/blue-mints-strain-feminized-marijuana-seeds/,html/b3ccdbe6de6a0a85.html,Crop King Seeds
Starfighter Strain,https://www.cropkingseeds.com/feminized-seeds/starfighter-strain-feminized-marijuana-seeds/,html/1df519bc9df00f91.html,Crop King Seeds
Lucid Dream,https://www.cropkingseeds.com/feminized-seeds/lucid-dream-feminized-marijuana-seeds/,html/33ae46c16a38b6d2.html,Crop King Seeds
Diablo OG,https://www.cropkingseeds.com/feminized-seeds/diablo-og-feminized-seeds/,html/de2e019e61fab6c6.html,Crop King Seeds
Platinum Gorilla Strain,https://www.cropkingseeds.com/feminized-seeds/platinum-gorilla-strain-feminized-marijuana-seeds/,html/fe05a0db338d54a1.html,Crop King Seeds
Christmas Tree Strain,https://www.cropkingseeds.com/feminized-seeds/christmas-tree-strain-feminized-marijuana-seeds/,html/2c3481c3a62dc451.html,Crop King Seeds
Ghost OG,https://www.cropkingseeds.com/autoflowering-seeds/ghost-og-autoflowering-marijuana-seeds/,html/4290d295f57545d1.html,Crop King Seeds
Purple Pie Strain,https://www.cropkingseeds.com/feminized-seeds/purple-pie-strain-feminized-marijuana-seeds/,html/276abc1fdb91fc1a.html,Crop King Seeds
Race Fuel Strain,https://www.cropkingseeds.com/feminized-seeds/race-fuel-strain-feminized-marijuana-seeds/,html/173649e9d071364c.html,Crop King Seeds
Blue Northern Lights Strain,https://www.cropkingseeds.com/feminized-seeds/blue-northern-lights-strain/,html/18c5d3a4c4acda3b.html,Crop King Seeds
King Tut Strain,https://www.cropkingseeds.com/feminized-seeds/king-tut-strain/,html/8e8792ddafe63c84.html,Crop King Seeds
Island OG,https://www.cropkingseeds.com/feminized-seeds/island-og-feminized-seeds/,html/b4f2737098ad6299.html,Crop King Seeds
Mango Haze,https://www.cropkingseeds.com/autoflowering-seeds/mango-haze-autoflowering-marijuana-seeds/,html/93c57a7838d0d3d5.html,Crop King Seeds
Gorilla Zkittlez Strain,https://www.cropkingseeds.com/feminized-seeds/gorilla-zkittlez-strain-feminized-marijuana-seeds/,html/b1d8dffa64b561a8.html,Crop King Seeds
Helium Strain,https://www.cropkingseeds.com/feminized-seeds/helium-strain/,html/8b408bc07be4d1ee.html,Crop King Seeds
Black African Magic,https://www.cropkingseeds.com/feminized-seeds/black-african-magic-feminized-seeds/,html/f045ceba416a5fd1.html,Crop King Seeds
Birthday Cake,https://www.cropkingseeds.com/feminized-seeds/birthday-cake-feminized-marijuana-seeds/,html/a2fef5b2a6dba783.html,Crop King Seeds
Purple Ice Water Strain,https://www.cropkingseeds.com/feminized-seeds/purple-ice-water-strain-feminized-marijuana-seeds/,html/41834a40778afb04.html,Crop King Seeds
Pre 98 Bubba Kush,https://www.cropkingseeds.com/feminized-seeds/pre-98-bubba-kush-feminized-seeds/,html/a518b36e65e14530.html,Crop King Seeds
Supreme Diesel Strain,https://www.cropkingseeds.com/feminized-seeds/supreme-diesel-strain-feminized-marijuana-seeds/,html/7f392f9b42fa72b9.html,Crop King Seeds
BlackBerry Strain,https://www.cropkingseeds.com/autoflowering-seeds/blackberry-marijuana-seeds/,html/5e1ad9de7dceb1c5.html,Crop King Seeds
Pancake Stomper Strain,https://www.cropkingseeds.com/feminized-seeds/pancake-stomper-strain/,html/d2cd893a021d9059.html,Crop King Seeds
Siberian Snow Strain,https://www.cropkingseeds.com/feminized-seeds/siberian-snow-marijuana-seeds/,html/d93dcec028d0d876.html,Crop King Seeds
Blueberry AK Strain,https://www.cropkingseeds.com/feminized-seeds/blueberry-ak-strain-feminized-marijuana-seeds/,html/52d3651141296049.html,Crop King Seeds
Sour Patch Kids Strain,https://www.cropkingseeds.com/feminized-seeds/sour-patch-kids-strain-feminized-marijuana-seeds/,html/84e56f3a61dfb11d.html,Crop King Seeds
Zruntz Strain,https://www.cropkingseeds.com/feminized-seeds/zruntz-strain-feminized-marijuana-seeds/,html/fc06dc41b1eb556b.html,Crop King Seeds
Head Cracker Strain,https://www.cropkingseeds.com/feminized-seeds/head-cracker-strain-feminized-marijuana-seeds/,html/7cbfe9e98e3bb315.html,Crop King Seeds
Gelato Ice Cream #17,https://www.cropkingseeds.com/feminized-seeds/gelato-ice-cream-17-feminized-seeds/,html/873de41f57cf6efa.html,Crop King Seeds
Exotic Zaza Strain,https://www.cropkingseeds.com/feminized-seeds/exotic-zaza-strain-feminized-marijuana-seeds/,html/95f191f613de4302.html,Crop King Seeds
