strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,breeder_extracted
a4c0c292-e9e8-4d3c-9b88-32e9a64f63d5,neptune,Way2Heady Ã¢ÂÂ White Runtz S1,,Way2Heady,,,,,,,"White Runtz S1 Strain by Way2Heady offers classic candy terps, frosty buds, and reliable feminized genetics. 6-pack of feminized seeds available now",,,,,,,,,,,,,True,html/2ada2dfcc16de862.html,,2026-01-12T15:17:43.478887,,https://neptuneseedbank.com/product/white-runtz-s1-strain/,,,,0.03,0.03,0.03,,,,,Way2Heady
93104cba-49e3-485a-b5f3-47066ce77981,neptune,Katsu,,Katsu Seeds,,,,,,,White Rhino x Gas Casket regular seeds by Katsu Seeds. Old school hash meets chem gas with bakery sweetness. 10Ã¢ÂÂpack. Shop NeptuneSeedBank.com.,Easy to Moderate,,,spicy,,,,,,,,,True,html/4586c291488632df.html,,2026-01-12T15:17:43.696522,,https://neptuneseedbank.com/product/white-rhino-x-gas-casket-seeds/,,6.0,,0.03,0.03,0.03,,,,,Katsu Seeds
6d75ac2a-f22e-4302-94ba-80df531f48e0,neptune,Sin City,,Sin City Seeds,,,,,,,Sin City Seeds - White Nightmare Box Set (F). 7 (F) Lineage: Night Wedding - Wedding Cake x White Nightmare n Sparkling Lime - Lime Skunk x White Nightmare n Frosted Biscotti - Biscotti Sundae x White Nightmare,,,,,,,,,,,,,True,html/de9e9bf3d8e8cc8a.html,,2026-01-12T15:17:43.917998,,https://neptuneseedbank.com/product/sin-city-seeds-white-nightmare-box-set-f/,,,,0.03,0.03,0.03,,,,,Sin City Seeds
0ed5e604-fe93-40a1-a3c6-1cc94405da15,neptune,Sin City,,Sin City Seeds,,,,,,,Sin City Seeds - White Nightmare Box Set (Regs). 10 Regular Seeds Lineage: Side Swiped - Motor Breath 15 x White Nightmare n Frozen Papaya - Papaya x White Nightmare n Blueberry Squirt - Blueberry Tartz x White Nightmare,,,,,,,,,,,,,True,html/ac5df7bdd1666643.html,,2026-01-12T15:17:44.090826,,https://neptuneseedbank.com/product/sin-city-seeds-white-nightmare-box-set-regs/,,,,0.03,0.03,0.03,,,,,Sin City Seeds
1b12d5be-ca43-43e9-a79b-debb9e251ab1,neptune,Equinox,,Equinox Seeds,,,,,,,Equinox Seeds - White Lobster. 10 Regular Seeds Lineage: Planet Dosi 17 x Ghostface OG,,,,,,,,,,,,,True,html/b799cefad29f6e5c.html,,2026-01-12T15:17:44.310817,,https://neptuneseedbank.com/product/equinox-seeds-white-lobster/,,,,0.03,0.03,0.03,,,,,Equinox Seeds
9f9f20c9-c89b-4881-925f-45aa095f0b44,neptune,LBCeeds Ã¢ÂÂ White fire 43 x Cherry Fritter 7,,LBCeeds,,,,,,,LBCeeds - White fire 43 x Cherry Fritter 7 Seeds Per Pack: 10  Seed Type: Regular Seeds  Lineage: White fire 43 X Cherry Fritter,,,,,,,,,,,,,True,html/4b354bc2be17b450.html,,2026-01-12T15:17:44.494805,,https://neptuneseedbank.com/product/lbceeds-white-fire-43/,,,,0.03,0.03,0.03,,,,,LBCeeds
b762e4fa-f4eb-4f39-af10-f6be75b72bea,neptune,White Clouds Genetics Ã¢ÂÂ Meduso (F),,White Clouds Genetics,,,,,,,White Clouds Genetics - Meduso (F). 6+ Feminized Lineage: Goblin Mode,,,,,,,,,,,,,False,html/b104f0d280179cc0.html,,2026-01-12T15:17:44.672975,,https://neptuneseedbank.com/product/white-clouds-genetics-meduso-f/,,,,0.03,0.03,0.03,,,,,White Clouds Genetics
49c5a46e-6e27-441b-8c89-1ce775883d93,neptune,White Clouds Genetics Ã¢ÂÂ Zombie Storm S1 (Feminized),,White Clouds Genetics,,,,,,,White Cloud Genetics - Zombie Storm S1 (F). 6+ (F) Lineage: Zombified x Shitstorm,,,,,,,,,,,,,False,html/64791b5311f2cb0b.html,,2026-01-12T15:17:44.839363,,https://neptuneseedbank.com/product/white-cloud-genetics-zombie-storm-s1-f/,,,,0.03,0.03,0.03,,,,,White Clouds Genetics
8b4b2cbd-4838-4c5d-84b6-b649faa6cd43,neptune,White Clouds Genetics Ã¢ÂÂ Metal Storm (Feminized),,White Clouds Genetics,,,,,,,White Cloud Genetics - Metal Storm (F). 6+ (F) Lineage: Dante's Inferno x Gary Satan x Goblin Mode,,,,,,,,,,,,,False,html/57fadd1f7d3e6616.html,,2026-01-12T15:17:44.996827,,https://neptuneseedbank.com/product/white-cloud-genetics-metal-storm-f/,,,,0.03,0.03,0.03,,,,,White Clouds Genetics
55fa958d-13f4-48b0-8468-7c565c94d99e,neptune,Beleaf,,Beleaf Cannabis,,,,,,,Beleaf Cannabis - White Burgundy s1 (F) Fullpack. 10 (F) Lineage: Daily Grape #9 x White Truffle,,,,,,,,,,,,,True,html/2de0c2715f12d887.html,,2026-01-12T15:17:45.184317,,https://neptuneseedbank.com/product/beleaf-cannabis-white-burgundy-s1-f-fullpack/,,,,0.03,0.03,0.03,,,,,Beleaf Cannabis
