strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Power Plant Auto Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/power-plant-auto-dutch-passion,html/8b9b30953c81a8bf.html,Dutch Passion
Hero Cookies,https://herbiesheadshop.com/cannabis-seeds/hero-cookies,html/8b9eff61d451e4c9.html,AlphaFem Seeds
Bruce Banner Fast Version Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/bruce-banner-fast-version-herbies-seeds-usa,html/8cde6828520eea41.html,Herbies Seeds
White Lemon Ghs,https://herbiesheadshop.com/cannabis-seeds/white-lemon-ghs,html/8cedb336e94a34ef.html,Green House Seeds
Tangiematic Auto,https://herbiesheadshop.com/cannabis-seeds/tangiematic-auto,html/8d0c105db841859c.html,Fast Buds
Do Si Dos Auto Growers Choice,https://herbiesheadshop.com/cannabis-seeds/do-si-dos-auto-growers-choice,html/8d469838f7f816de.html,Growers Choice
Ghost Train Haze X Pellezino Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/ghost-train-haze-x-pellezino-herbies-seeds-usa,html/8df195ad266a3145.html,Herbies Seeds
Gorilla Auto Expert Seeds,https://herbiesheadshop.com/cannabis-seeds/gorilla-auto-expert-seeds,html/8ecd0fdea81843e5.html,Expert Seeds
G14 Auto,https://herbiesheadshop.com/cannabis-seeds/g14-auto,html/8ee44a3fd1d5579e.html,Fast Buds
White Widow Fast Version Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/white-widow-fast-version-herbies-seeds-usa,html/8efca07c57fb382f.html,Herbies Seeds
Critical Purple Auto Growers Choice,https://herbiesheadshop.com/cannabis-seeds/critical-purple-auto-growers-choice,html/8f733de974f75c10.html,Growers Choice
Orange Bud Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/orange-bud-herbies-seeds-usa,html/8f88dafcf59f83ca.html,Herbies Seeds
Big Bud Auto,https://herbiesheadshop.com/cannabis-seeds/big-bud-auto,html/8f8cdd85e7da7cdd.html,Herbies Seeds
